Date,Home_Team,Away_Team,Closing_Total,Num_Books,Actual_Total,Result_Date,Days_Diff,Deviation,Abs_Deviation
2023-11-16,St. Bonaventure Bonnies,Oklahoma St Cowboys,135.7,14,130,2023-11-16,0,-5.699999999999989,5.699999999999989
2023-11-17,American Eagles,NJIT Highlanders,137.0,10,160,2023-11-16,-1,23.0,23.0
2023-11-17,Boston Univ. Terriers,Bryant Bulldogs,137.9,9,174,2023-11-16,-1,36.099999999999994,36.099999999999994
2023-11-17,UCF Knights,CSU Fullerton Titans,142.3,13,116,2023-11-16,-1,-26.30000000000001,26.30000000000001
2023-11-17,Liberty Flames,Furman Paladins,145.2,13,162,2023-11-16,-1,16.80000000000001,16.80000000000001
2023-11-17,Indiana Hoosiers,Wright St Raiders,152.0,13,169,2023-11-16,-1,17.0,17.0
2023-11-17,North Florida Ospreys,Presbyterian Blue Hose,145.8,10,150,2023-11-16,-1,4.199999999999989,4.199999999999989
2023-11-17,Virginia Cavaliers,Texas Southern Tigers,130.2,8,95,2023-11-16,-1,-35.19999999999999,35.19999999999999
2023-11-17,UAB Blazers,Alcorn St Braves,152.5,10,157,2023-11-16,-1,4.5,4.5
2023-11-17,Southern Illinois Salukis,Chicago St Cougars,131.1,10,126,2023-11-16,-1,-5.099999999999994,5.099999999999994
2023-11-17,Tulsa Golden Hurricane,Jackson St Tigers,144.9,10,124,2023-11-16,-1,-20.900000000000006,20.900000000000006
2023-11-17,South Alabama Jaguars,Nicholls St Colonels,140.1,8,199,2023-11-16,-1,58.900000000000006,58.900000000000006
2023-11-17,Notre Dame Fighting Irish,Auburn Tigers,145.3,14,142,2023-11-16,-1,-3.3000000000000114,3.3000000000000114
2023-11-17,Minnesota Golden Gophers,Missouri Tigers,147.6,14,138,2023-11-16,-1,-9.599999999999994,9.599999999999994
2023-11-17,New Mexico Lobos,UT-Arlington Mavericks,148.4,14,162,2023-11-16,-1,13.599999999999994,13.599999999999994
2023-11-17,Omaha Mavericks,William & Mary Tribe,146.1,12,172,2023-11-16,-1,25.900000000000006,25.900000000000006
2023-11-17,Wake Forest Demon Deacons,Utah Utes,150.9,13,147,2023-11-16,-1,-3.9000000000000057,3.9000000000000057
2023-11-17,Montana Grizzlies,North Dakota St Bison,137.1,14,147,2023-11-16,-1,9.900000000000006,9.900000000000006
2023-11-17,California Golden Bears,Montana St Bobcats,142.0,14,123,2023-11-16,-1,-19.0,19.0
2023-12-01,Liberty Flames,Charleston Cougars,146.8,6,143,2023-12-01,0,-3.8000000000000114,3.8000000000000114
2023-12-01,Xavier Musketeers,Houston Cougars,138.6,14,126,2023-12-01,0,-12.599999999999994,12.599999999999994
2023-12-02,Bethune-Cookman Wildcats,Incarnate Word Cardinals,148.4,9,178,2023-12-01,-1,29.599999999999994,29.599999999999994
2023-12-02,Brown Bears,Bryant Bulldogs,147.1,10,135,2023-12-01,-1,-12.099999999999994,12.099999999999994
2023-12-02,Canisius Golden Griffins,Quinnipiac Bobcats,150.8,14,166,2023-12-01,-1,15.199999999999989,15.199999999999989
2023-12-02,Fairfield Stags,Iona Gaels,147.2,14,145,2023-12-01,-1,-2.1999999999999886,2.1999999999999886
2023-12-02,South Carolina Gamecocks,George Washington Colonials,149.7,14,156,2023-12-01,-1,6.300000000000011,6.300000000000011
2023-12-02,Georgia Bulldogs,Mercer Bears,138.9,14,149,2023-12-01,-1,10.099999999999994,10.099999999999994
2023-12-02,Indiana Hoosiers,Maryland Terrapins,137.5,13,118,2023-12-01,-1,-19.5,19.5
2023-12-02,Manhattan Jaspers,Mt. St. Mary's Mountaineers,135.4,14,149,2023-12-01,-1,13.599999999999994,13.599999999999994
2023-12-02,Niagara Purple Eagles,Saint Peter's Peacocks,124.0,14,139,2023-12-01,-1,15.0,15.0
2023-12-02,VCU Rams,Norfolk St Spartans,135.8,9,123,2023-12-01,-1,-12.800000000000011,12.800000000000011
2023-12-02,Siena Saints,Rider Broncs,132.5,14,132,2023-12-01,-1,-0.5,0.5
2023-12-02,West Virginia Mountaineers,St. John's Red Storm,147.5,14,152,2023-12-01,-1,4.5,4.5
2023-12-02,Arkansas-Little Rock Trojans,Arkansas St Red Wolves,160.3,14,143,2023-12-01,-1,-17.30000000000001,17.30000000000001
2023-12-02,LSU Tigers,SE Louisiana Lions,146.2,10,139,2023-12-01,-1,-7.199999999999989,7.199999999999989
2023-12-02,South Dakota St Jackrabbits,Towson Tigers,131.7,14,109,2023-12-01,-1,-22.69999999999999,22.69999999999999
2023-12-02,DePaul Blue Demons,Iowa State Cyclones,139.0,14,179,2023-12-01,-1,40.0,40.0
2023-12-02,Troy Trojans,SIU-Edwardsville Cougars,143.1,13,143,2023-12-01,-1,-0.09999999999999432,0.09999999999999432
2023-12-02,BYU Cougars,Fresno St Bulldogs,143.2,13,141,2023-12-01,-1,-2.1999999999999886,2.1999999999999886
2023-12-02,CSU Fullerton Titans,North Dakota Fighting Hawks,141.5,14,118,2023-12-01,-1,-23.5,23.5
2023-12-02,Kansas Jayhawks,UConn Huskies,148.5,14,134,2023-12-01,-1,-14.5,14.5
2023-12-02,Northwestern Wildcats,Purdue Boilermakers,136.6,14,180,2023-12-01,-1,43.400000000000006,43.400000000000006
2023-12-02,Portland Pilots,Wyoming Cowboys,149.9,14,151,2023-12-01,-1,1.0999999999999943,1.0999999999999943
2023-12-16,Penn State Nittany Lions,Georgia Tech Yellow Jackets,146.8,12,163,2023-12-16,0,16.19999999999999,16.19999999999999
2023-12-16,Texas Longhorns,LSU Tigers,142.3,12,181,2023-12-16,0,38.69999999999999,38.69999999999999
2023-12-16,Miami Hurricanes,La Salle Explorers,153.3,12,161,2023-12-16,0,7.699999999999989,7.699999999999989
2023-12-16,Indiana Hoosiers,Kansas Jayhawks,146.5,12,146,2023-12-16,0,-0.5,0.5
