Date,Home_Team,Away_Team,Closing_Total,Num_Books,Actual_Total,Deviation,Abs_Deviation
2023-11-11,Gonzaga Bulldogs,Yale Bulldogs,154.5,13,157,2.5,2.5
2023-11-11,Missouri Tigers,Memphis Tigers,159.8,12,125,-34.80000000000001,34.80000000000001
2023-11-11,Oregon Ducks,Montana Grizzlies,142.9,12,136,-6.900000000000006,6.900000000000006
2023-11-11,Stanford Cardinal,Sacramento St Hornets,143.1,12,164,20.900000000000006,20.900000000000006
2023-11-11,Wisconsin Badgers,Tennessee Volunteers,131.6,13,150,18.400000000000006,18.400000000000006
2023-11-11,UAB Blazers,Clemson Tigers,144.8,12,153,8.199999999999989,8.199999999999989
2023-11-11,South Carolina Gamecocks,Virginia Tech Hokies,142.0,11,156,14.0,14.0
2023-11-11,Washington St Cougars,Prairie View Panthers,136.9,7,148,11.099999999999994,11.099999999999994
2023-11-11,California Golden Bears,Pacific Tigers,141.5,12,166,24.5,24.5
2023-11-11,UCLA Bruins,Lafayette Leopards,129.5,7,118,-11.5,11.5
2023-11-13,St. John's Red Storm,Michigan Wolverines,155.3,13,162,6.699999999999989,6.699999999999989
2023-11-14,American Eagles,Siena Saints,136.5,7,136,-0.5,0.5
2023-11-14,Florida St Seminoles,Central Michigan Chippewas,153.0,13,161,8.0,8.0
2023-11-14,Duquesne Dukes,Stony Brook Seawolves,146.3,13,148,1.6999999999999886,1.6999999999999886
2023-11-14,Miami Hurricanes,Florida Int'l Golden Panthers,162.3,12,166,3.6999999999999886,3.6999999999999886
2023-11-14,Norfolk St Spartans,Hampton Pirates,146.8,6,143,-3.8000000000000114,3.8000000000000114
2023-11-14,Massachusetts Minutemen,Quinnipiac Bobcats,152.2,12,183,30.80000000000001,30.80000000000001
2023-11-14,South Carolina St Bulldogs,North Florida Ospreys,155.6,8,164,8.400000000000006,8.400000000000006
2023-11-14,Pennsylvania Quakers,Villanova Wildcats,141.9,13,148,6.099999999999994,6.099999999999994
2023-11-14,Presbyterian Blue Hose,The Citadel Bulldogs,135.4,7,135,-0.4000000000000057,0.4000000000000057
2023-11-14,South Carolina Gamecocks,VMI Keydets,147.0,11,138,-9.0,9.0
2023-11-14,Central Arkansas Bears,Arkansas-Pine Bluff Golden Lions,151.7,8,168,16.30000000000001,16.30000000000001
2023-11-14,Middle Tennessee Blue Raiders,Western Carolina Catamounts,137.5,13,130,-7.5,7.5
2023-11-14,Northwestern St Demons,Stephen F. Austin Lumberjacks,146.5,8,166,19.5,19.5
2023-11-14,Arizona Wildcats,Southern Jaguars,158.5,7,156,-2.5,2.5
2023-11-14,Arkansas Razorbacks,Old Dominion Monarchs,144.6,11,163,18.400000000000006,18.400000000000006
2023-11-14,Houston Cougars,Stetson Hatters,138.9,7,127,-11.900000000000006,11.900000000000006
2023-11-14,Kansas St Wildcats,South Dakota St Jackrabbits,154.2,12,159,4.800000000000011,4.800000000000011
2023-11-14,Missouri St Bears,Oral Roberts Golden Eagles,144.5,12,153,8.5,8.5
2023-11-14,Missouri Tigers,SIU-Edwardsville Cougars,149.0,12,118,-31.0,31.0
2023-11-14,Nebraska Cornhuskers,Rider Broncs,149.4,14,114,-35.400000000000006,35.400000000000006
2023-11-14,Purdue Boilermakers,Xavier Musketeers,151.5,12,154,2.5,2.5
2023-11-14,Pepperdine Waves,LIU Sharks,159.5,8,141,-18.5,18.5
2023-11-16,Vermont Catamounts,Charleston Cougars,145.7,14,137,-8.699999999999989,8.699999999999989
2023-11-16,North Texas Mean Green,St. John's Red Storm,137.1,14,105,-32.099999999999994,32.099999999999994
2023-11-16,Wyoming Cowboys,Saint Louis Billikens,150.0,14,148,-2.0,2.0
2023-11-16,LSU Tigers,Dayton Flyers,133.8,14,137,3.1999999999999886,3.1999999999999886
2023-11-16,Coastal Carolina Chanticleers,Wichita St Shockers,144.5,14,163,18.5,18.5
2023-11-16,Air Force Falcons,Lindenwood Lions,129.1,14,134,4.900000000000006,4.900000000000006
2023-11-16,Towson Tigers,Houston Cougars,127.5,14,114,-13.5,13.5
2023-11-16,St. Bonaventure Bonnies,Oklahoma St Cowboys,135.7,14,130,-5.699999999999989,5.699999999999989
2023-11-17,American Eagles,NJIT Highlanders,137.0,10,160,23.0,23.0
2023-11-17,Boston Univ. Terriers,Bryant Bulldogs,137.9,9,174,36.099999999999994,36.099999999999994
2023-11-17,UCF Knights,CSU Fullerton Titans,142.3,13,116,-26.30000000000001,26.30000000000001
2023-11-17,Liberty Flames,Furman Paladins,145.2,13,162,16.80000000000001,16.80000000000001
2023-11-17,Indiana Hoosiers,Wright St Raiders,152.0,13,169,17.0,17.0
2023-11-17,North Florida Ospreys,Presbyterian Blue Hose,145.8,10,150,4.199999999999989,4.199999999999989
2023-11-17,Virginia Cavaliers,Texas Southern Tigers,130.2,8,95,-35.19999999999999,35.19999999999999
2023-11-17,UAB Blazers,Alcorn St Braves,152.5,10,157,4.5,4.5
2023-11-17,Southern Illinois Salukis,Chicago St Cougars,131.1,10,126,-5.099999999999994,5.099999999999994
2023-11-17,Tulsa Golden Hurricane,Jackson St Tigers,144.9,10,124,-20.900000000000006,20.900000000000006
2023-11-17,South Alabama Jaguars,Nicholls St Colonels,140.1,8,199,58.900000000000006,58.900000000000006
2023-11-17,Notre Dame Fighting Irish,Auburn Tigers,145.3,14,142,-3.3000000000000114,3.3000000000000114
2023-11-17,Minnesota Golden Gophers,Missouri Tigers,147.6,14,138,-9.599999999999994,9.599999999999994
2023-11-17,New Mexico Lobos,UT-Arlington Mavericks,148.4,14,162,13.599999999999994,13.599999999999994
2023-11-17,Omaha Mavericks,William & Mary Tribe,146.1,12,172,25.900000000000006,25.900000000000006
2023-11-17,Wake Forest Demon Deacons,Utah Utes,150.9,13,147,-3.9000000000000057,3.9000000000000057
2023-11-17,Montana Grizzlies,North Dakota St Bison,137.1,14,147,9.900000000000006,9.900000000000006
2023-11-17,California Golden Bears,Montana St Bobcats,142.0,14,123,-19.0,19.0
2023-11-19,Furman Paladins,Wyoming Cowboys,152.1,14,149,-3.0999999999999943,3.0999999999999943
2023-11-19,Drake Bulldogs,Oakland Golden Grizzlies,142.0,14,162,20.0,20.0
2023-11-19,Georgia Bulldogs,Providence Friars,140.2,13,135,-5.199999999999989,5.199999999999989
2023-11-19,Towson Tigers,North Texas Mean Green,116.7,14,104,-12.700000000000003,12.700000000000003
2023-11-19,Clemson Tigers,Boise State Broncos,138.2,13,153,14.800000000000011,14.800000000000011
2023-11-19,Central Connecticut St Blue Devils,Manhattan Jaspers,137.0,10,130,-7.0,7.0
2023-11-19,Coastal Carolina Chanticleers,Charleston Cougars,156.5,14,152,-4.5,4.5
2023-11-19,Colgate Raiders,Weber State Wildcats,139.5,3,112,-27.5,27.5
2023-11-19,Miami (OH) RedHawks,Eastern Illinois Panthers,138.3,11,140,1.6999999999999886,1.6999999999999886
2023-11-19,Iowa State Cyclones,Grambling St Tigers,132.7,10,129,-3.6999999999999886,3.6999999999999886
