Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
82,St. John's,BE,18-15,10.28,108.3,98.0,73.3
83,Marshall,SB,24-8,9.66,111.0,101.3,71.9
84,Stanford,P12,14-19,9.45,113.8,104.3,65.6
85,Santa Clara,WCC,23-10,9.41,110.3,100.8,69.8
86,Wake Forest,ACC,19-14,9.05,112.1,103.1,69.4
87,Toledo,MAC,27-8,8.83,119.5,110.6,69.5
88,Louisiana 13,SB,26-8,8.51,111.4,102.9,68.3
89,Hofstra,CAA,25-10,8.39,110.8,102.4,67.1
90,Bradley,MVC,25-10,8.27,106.8,98.5,65.3
91,Princeton 15,Ivy,23-9,8.04,109.5,101.5,66.9
92,Furman 13,SC,28-8,8.01,113.5,105.5,68.3
93,South Alabama,SB,19-16,7.65,108.0,100.4,65.6
94,Nebraska,B10,16-16,7.61,106.5,98.8,67.0
95,UNLV,MWC,19-13,7.38,107.1,99.7,69.3
96,Saint Louis,A10,21-12,7.29,111.4,104.1,69.2
97,San Jose St.,MWC,21-14,6.92,109.5,102.6,62.6
98,James Madison,SB,22-11,6.7,106.5,99.8,70.4
99,Southern Miss,SB,25-8,6.51,107.1,100.6,68.6
100,Indiana St.,MVC,23-13,6.51,109.6,103.1,70.3
101,San Francisco,WCC,20-14,6.41,109.7,103.3,68.4
102,Wichita St.,Amer,17-15,6.39,106.6,100.2,66.1
103,Tulane,Amer,20-11,6.23,109.9,103.7,73.0
104,UC Irvine,BW,23-12,6.21,106.8,100.6,69.6
105,Akron,MAC,22-11,6.16,109.5,103.4,65.2
106,Charlotte,CUSA,22-14,5.93,108.4,102.5,60.4
107,Washington,P12,16-16,5.92,105.3,99.4,69.1
108,Grand Canyon 14,WAC,24-12,5.88,111.9,106.1,65.0
109,Loyola Marymount,WCC,19-12,5.78,109.6,103.8,66.9
110,Colorado St.,MWC,15-18,5.71,111.8,106.1,66.0
111,Southern Utah,WAC,24-13,5.68,109.3,103.6,71.8
112,UC Santa Barbara 14,BW,27-8,5.68,110.3,104.6,64.7
113,Montana St. 14,BSky,25-10,5.49,105.1,99.6,66.3
114,Vermont 15,AE,23-11,5.33,109.5,104.2,64.4
115,Colgate 15,Pat,26-9,5.24,112.7,107.5,67.5
116,Middle Tennessee,CUSA,19-14,4.99,106.6,101.6,66.8
117,UNC Greensboro,SC,20-12,4.98,103.2,98.3,65.8
118,Syracuse,ACC,17-15,4.93,110.5,105.5,67.3
