Rank,Team,Conference,Record,AdjEM,AdjOffEff,AdjDefEff,AdjTempo
232,William & Mary,CAA,17-15,-5.45,107.3,112.8,71.5
233,Presbyterian,BSth,14-19,-5.58,104.5,110.1,64.5
234,UT Rio Grande Valley,Slnd,16-15,-5.63,105.1,110.7,70.6
235,Delaware,CAA,16-20,-5.67,109.4,115.1,70.6
236,Toledo,MAC,18-15,-5.77,112.4,118.2,68.2
237,Fordham,A10,12-21,-5.91,106.2,112.1,69.7
238,Kansas City,Sum,13-20,-6.07,100.4,106.4,64.7
239,Missouri St.,MVC,9-23,-6.08,101.3,107.4,64.0
240,South Dakota,Sum,19-14,-6.24,109.3,115.6,74.9
241,Manhattan,MAAC,17-14,-6.26,108.9,115.2,67.9
242,Vermont,AE,21-12,-6.32,99.3,105.6,62.6
243,Mount St. Mary's 16,MAAC,23-13,-6.34,100.9,107.3,67.8
244,UMass Lowell,AE,17-15,-6.42,108.7,115.1,68.8
245,Cal St. Bakersfield,BW,14-19,-6.55,106.2,112.8,66.2
246,Jackson St.,SWAC,16-18,-6.55,100.5,107.0,68.5
247,Richmond,A10,10-22,-6.62,102.9,109.5,63.9
248,American 16,PL,22-13,-6.65,102.5,109.2,63.8
249,Georgia Southern,SB,17-16,-6.89,102.8,109.7,69.6
250,UC Davis,BW,15-17,-6.98,97.0,104.0,67.2
251,Northern Arizona,BSky,18-16,-6.98,104.7,111.7,67.0
252,Tennessee St.,OVC,17-16,-7.21,102.4,109.6,70.6
253,Siena,MAAC,14-18,-7.58,102.8,110.4,67.4
254,Evansville,MVC,11-21,-7.62,98.6,106.2,67.0
255,FIU,CUSA,10-23,-7.66,96.7,104.3,68.6
256,Harvard,Ivy,12-15,-7.81,101.2,109.0,65.8
257,Charlotte,Amer,11-22,-7.89,104.6,112.5,65.0
258,Mercer,SC,14-19,-7.9,99.4,107.3,71.3
259,Fresno St.,MWC,6-26,-7.94,100.8,108.7,70.8
260,Iona,MAAC,17-17,-7.96,98.7,106.6,68.3
261,Colgate,PL,14-19,-7.97,104.7,112.7,67.4
262,Georgia St.,SB,14-19,-8.07,106.6,114.7,69.2
263,Sacred Heart,MAAC,15-18,-8.12,104.8,112.9,70.4
264,Gardner Webb,BSth,11-20,-8.22,103.0,111.3,69.2
265,North Dakota,Sum,12-21,-8.31,107.7,116.0,69.2
266,North Florida,ASun,15-17,-8.42,109.4,117.9,72.4
267,Tulsa,Amer,13-20,-8.54,101.6,110.2,66.4
