date,player_name,team,opponent,prop_type,market_line,actual_value,hit,difference,timestamp
2025-11-13,"Isaiah Jackson","Phoenix Suns","Indiana Pacers",PRA,14.5,37.0,1,22.5,"2025-11-14 21:32:14"
2025-11-13,"Isaiah Jackson","Phoenix Suns","Indiana Pacers",points,7.5,29.0,1,21.5,"2025-11-14 21:32:04"
2025-11-13,"Jarace Walker","Phoenix Suns","Indiana Pacers",blocks,0.5,0.0,0,-0.5,"2025-11-14 21:32:57"
2025-11-13,"Jarace Walker","Phoenix Suns","Indiana Pacers",threes,1.5,0.0,0,-1.5,"2025-11-14 21:32:46"
2025-11-13,"Jarace Walker","Phoenix Suns","Indiana Pacers",steals,0.5,4.0,1,3.5,"2025-11-14 21:32:36"
2025-11-13,"Jarace Walker","Phoenix Suns","Indiana Pacers",rebounds,4.5,5.0,1,0.5,"2025-11-14 21:32:20"
2025-11-13,"Jarace Walker","Phoenix Suns","Indiana Pacers",PRA,16.5,11.0,0,-5.5,"2025-11-14 21:32:11"
2025-11-13,"Jarace Walker","Phoenix Suns","Indiana Pacers",points,9.5,4.0,0,-5.5,"2025-11-14 21:31:58"
2025-11-13,"Jarace Walker","Phoenix Suns","Indiana Pacers",assists,2.5,2.0,0,-0.5,"2025-11-14 21:31:51"
2025-11-13,"Jarrett Allen","Cleveland Cavaliers","Toronto Raptors",steals,0.5,1.0,1,0.5,"2025-11-14 21:30:03"
2025-11-13,"Jarrett Allen","Cleveland Cavaliers","Toronto Raptors",rebounds,8.5,12.0,1,3.5,"2025-11-14 21:29:43"
2025-11-13,"Jarrett Allen","Cleveland Cavaliers","Toronto Raptors",PRA,24.5,24.0,0,-0.5,"2025-11-14 21:29:39"
2025-11-13,"Jarrett Allen","Cleveland Cavaliers","Toronto Raptors",points,13.5,11.0,0,-2.5,"2025-11-14 21:29:26"
2025-11-13,"Jarrett Allen","Cleveland Cavaliers","Toronto Raptors",blocks,0.5,0.0,0,-0.5,"2025-11-14 21:29:14"
2025-11-13,"Jarrett Allen","Cleveland Cavaliers","Toronto Raptors",assists,1.5,1.0,0,-0.5,"2025-11-14 21:29:09"
2025-11-13,"Jaylon Tyson","Cleveland Cavaliers","Toronto Raptors",threes,1.5,0.0,0,-1.5,"2025-11-14 21:30:13"
2025-11-13,"Jaylon Tyson","Cleveland Cavaliers","Toronto Raptors",rebounds,3.5,0.0,0,-3.5,"2025-11-14 21:29:50"
2025-11-13,"Jaylon Tyson","Cleveland Cavaliers","Toronto Raptors",PRA,15.5,0.0,0,-15.5,"2025-11-14 21:29:40"
2025-11-13,"Jaylon Tyson","Cleveland Cavaliers","Toronto Raptors",points,10.5,0.0,0,-10.5,"2025-11-14 21:29:22"
2025-11-13,"Jusuf Nurkic","Utah Jazz","Atlanta Hawks",steals,0.5,3.0,1,2.5,"2025-11-14 21:31:38"
2025-11-13,"Jusuf Nurkic","Utah Jazz","Atlanta Hawks",blocks,0.5,0.0,0,-0.5,"2025-11-14 21:31:22"
2025-11-13,"Jusuf Nurkic","Utah Jazz","Atlanta Hawks",threes,0.5,0.0,0,-0.5,"2025-11-14 21:31:16"
2025-11-13,"Jusuf Nurkic","Utah Jazz","Atlanta Hawks",rebounds,11.0,11.0,0,0.0,"2025-11-14 21:31:00"
2025-11-13,"Jusuf Nurkic","Utah Jazz","Atlanta Hawks",PRA,25.5,15.0,0,-10.5,"2025-11-14 21:30:47"
2025-11-13,"Jusuf Nurkic","Utah Jazz","Atlanta Hawks",points,10.5,3.0,0,-7.5,"2025-11-14 21:30:38"
2025-11-13,"Jusuf Nurkic","Utah Jazz","Atlanta Hawks",assists,3.5,1.0,0,-2.5,"2025-11-14 21:30:18"
2025-11-13,"Keyonte George","Utah Jazz","Atlanta Hawks",steals,0.5,0.0,0,-0.5,"2025-11-14 21:31:29"
2025-11-13,"Keyonte George","Utah Jazz","Atlanta Hawks",blocks,0.5,0.0,0,-0.5,"2025-11-14 21:31:21"
2025-11-13,"Keyonte George","Utah Jazz","Atlanta Hawks",threes,2.5,0.0,0,-2.5,"2025-11-14 21:31:09"
2025-11-13,"Keyonte George","Utah Jazz","Atlanta Hawks",rebounds,3.5,0.0,0,-3.5,"2025-11-14 21:31:02"
2025-11-13,"Keyonte George","Utah Jazz","Atlanta Hawks",PRA,29.5,0.0,0,-29.5,"2025-11-14 21:30:48"
2025-11-13,"Keyonte George","Utah Jazz","Atlanta Hawks",points,19.5,0.0,0,-19.5,"2025-11-14 21:30:37"
2025-11-13,"Keyonte George","Utah Jazz","Atlanta Hawks",assists,6.0,0.0,0,-6.0,"2025-11-14 21:30:20"
2025-11-13,"Luke Kennard","Utah Jazz","Atlanta Hawks",steals,0.5,0.0,0,-0.5,"2025-11-14 21:31:38"
2025-11-13,"Luke Kennard","Utah Jazz","Atlanta Hawks",blocks,0.5,0.0,0,-0.5,"2025-11-14 21:31:28"
2025-11-13,"Luke Kennard","Utah Jazz","Atlanta Hawks",threes,1.5,4.0,1,2.5,"2025-11-14 21:31:17"
2025-11-13,"Luke Kennard","Utah Jazz","Atlanta Hawks",rebounds,2.5,2.0,0,-0.5,"2025-11-14 21:31:04"
2025-11-13,"Luke Kennard","Utah Jazz","Atlanta Hawks",PRA,14.5,18.0,1,3.5,"2025-11-14 21:30:53"
2025-11-13,"Luke Kennard","Utah Jazz","Atlanta Hawks",points,9.5,12.0,1,2.5,"2025-11-14 21:30:45"
2025-11-13,"Luke Kennard","Utah Jazz","Atlanta Hawks",assists,2.5,4.0,1,1.5,"2025-11-14 21:30:32"
2025-11-13,"Nickeil Alexander-Walker","Utah Jazz","Atlanta Hawks",steals,0.5,3.0,1,2.5,"2025-11-14 21:31:35"
2025-11-13,"Nickeil Alexander-Walker","Utah Jazz","Atlanta Hawks",blocks,0.5,1.0,1,0.5,"2025-11-14 21:31:23"
2025-11-13,"Nickeil Alexander-Walker","Utah Jazz","Atlanta Hawks",threes,2.5,3.0,1,0.5,"2025-11-14 21:31:11"
2025-11-13,"Nickeil Alexander-Walker","Utah Jazz","Atlanta Hawks",rebounds,3.5,5.0,1,1.5,"2025-11-14 21:30:59"
2025-11-13,"Nickeil Alexander-Walker","Utah Jazz","Atlanta Hawks",PRA,24.5,21.0,0,-3.5,"2025-11-14 21:30:46"
2025-11-13,"Nickeil Alexander-Walker","Utah Jazz","Atlanta Hawks",points,17.5,13.0,0,-4.5,"2025-11-14 21:30:35"
2025-11-13,"Nickeil Alexander-Walker","Utah Jazz","Atlanta Hawks",assists,3.5,3.0,0,-0.5,"2025-11-14 21:30:19"
2025-11-13,"Oso Ighodaro","Phoenix Suns","Indiana Pacers",blocks,0.5,0.0,0,-0.5,"2025-11-14 21:32:53"
2025-11-13,"Oso Ighodaro","Phoenix Suns","Indiana Pacers",steals,0.5,2.0,1,1.5,"2025-11-14 21:32:35"
2025-11-13,"Oso Ighodaro","Phoenix Suns","Indiana Pacers",rebounds,3.5,1.0,0,-2.5,"2025-11-14 21:32:21"
2025-11-13,"Oso Ighodaro","Phoenix Suns","Indiana Pacers",PRA,11.0,5.0,0,-6.0,"2025-11-14 21:32:14"
2025-11-13,"Oso Ighodaro","Phoenix Suns","Indiana Pacers",points,5.5,4.0,0,-1.5,"2025-11-14 21:32:02"
2025-11-13,"Oso Ighodaro","Phoenix Suns","Indiana Pacers",assists,1.5,0.0,0,-1.5,"2025-11-14 21:31:48"
2025-11-13,"Pascal Siakam","Phoenix Suns","Indiana Pacers",blocks,0.5,0.0,0,-0.5,"2025-11-14 21:32:51"
2025-11-13,"Pascal Siakam","Phoenix Suns","Indiana Pacers",threes,1.5,4.0,1,2.5,"2025-11-14 21:32:41"
2025-11-13,"Pascal Siakam","Phoenix Suns","Indiana Pacers",steals,0.5,0.0,0,-0.5,"2025-11-14 21:32:29"
2025-11-13,"Pascal Siakam","Phoenix Suns","Indiana Pacers",rebounds,7.5,7.0,0,-0.5,"2025-11-14 21:32:21"
2025-11-13,"Pascal Siakam","Phoenix Suns","Indiana Pacers",PRA,38.5,34.0,0,-4.5,"2025-11-14 21:32:10"
2025-11-13,"Pascal Siakam","Phoenix Suns","Indiana Pacers",points,25.5,25.0,0,-0.5,"2025-11-14 21:32:00"
2025-11-13,"Pascal Siakam","Phoenix Suns","Indiana Pacers",assists,4.5,2.0,0,-2.5,"2025-11-14 21:31:42"
2025-11-13,"Royce O'Neale","Phoenix Suns","Indiana Pacers",blocks,0.5,0.0,0,-0.5,"2025-11-14 21:32:53"
2025-11-13,"Royce O'Neale","Phoenix Suns","Indiana Pacers",threes,2.5,1.0,0,-1.5,"2025-11-14 21:32:42"
2025-11-13,"Royce O'Neale","Phoenix Suns","Indiana Pacers",steals,1.5,1.0,0,-0.5,"2025-11-14 21:32:34"
2025-11-13,"Royce O'Neale","Phoenix Suns","Indiana Pacers",rebounds,5.5,5.0,0,-0.5,"2025-11-14 21:32:18"
2025-11-13,"Royce O'Neale","Phoenix Suns","Indiana Pacers",PRA,19.5,14.0,0,-5.5,"2025-11-14 21:32:08"
2025-11-13,"Royce O'Neale","Phoenix Suns","Indiana Pacers",points,10.5,5.0,0,-5.5,"2025-11-14 21:31:56"
2025-11-13,"Royce O'Neale","Phoenix Suns","Indiana Pacers",assists,2.5,4.0,1,1.5,"2025-11-14 21:31:40"
2025-11-13,"Ryan Dunn","Phoenix Suns","Indiana Pacers",blocks,0.5,2.0,1,1.5,"2025-11-14 21:32:59"
2025-11-13,"Ryan Dunn","Phoenix Suns","Indiana Pacers",threes,0.5,2.0,1,1.5,"2025-11-14 21:32:49"
2025-11-13,"Ryan Dunn","Phoenix Suns","Indiana Pacers",steals,1.5,1.0,0,-0.5,"2025-11-14 21:32:38"
2025-11-13,"Ryan Dunn","Phoenix Suns","Indiana Pacers",rebounds,4.5,3.0,0,-1.5,"2025-11-14 21:32:22"
2025-11-13,"Ryan Dunn","Phoenix Suns","Indiana Pacers",PRA,14.5,14.0,0,-0.5,"2025-11-14 21:32:12"
2025-11-13,"Ryan Dunn","Phoenix Suns","Indiana Pacers",points,7.5,10.0,1,2.5,"2025-11-14 21:31:55"
