game_id,season,game_date,home_team,away_team,actual_total,home_score,away_score,pred_lower,pred_mean,pred_upper,pred_std,pred_error,abs_pred_error,simulated_line_drift,simulated_live_line,z_score,abs_z_score,is_alert,confidence,bet_direction,theoretical_win_prob,random_outcome,bet_wins,pnl
22300065,2023-24,2023-10-25,NYK,,212,104,108,204.08864,227.04314,242.68901,15.078271,-15.043136596679688,15.043136596679688,38.89755626780751,265.9406928644872,2.5797093376543185,2.5797093376543185,True,HIGH,UNDER,0.68,0.33540681349634693,True,100
22300111,2023-24,2023-10-30,LAL,,209,106,103,204.9859,214.34619,243.63593,15.097666,-5.34619140625,5.34619140625,35.016462243964384,249.36265365021438,2.319329539981694,2.319329539981694,True,MEDIUM,UNDER,0.62,0.4111272782593792,True,100
22300123,2023-24,2023-11-01,MIN,,199,110,89,201.63673,222.67126,239.95619,14.968538,-23.6712646484375,23.6712646484375,-32.22562526252235,190.44563938591514,-2.152890592952483,2.152890592952483,True,MEDIUM,OVER,0.62,0.6162907483541447,True,100
22300122,2023-24,2023-11-01,HOU,,247,128,119,204.85886,235.54843,247.02779,16.472239,11.451568603515625,11.451568603515625,41.0652827328768,276.6137141293612,2.4929995174327906,2.4929995174327906,True,MEDIUM,UNDER,0.62,0.6225469904622817,False,-110
22300157,2023-24,2023-11-08,CHA,,248,116,132,214.87025,246.28804,255.10968,15.718526,1.7119598388671875,1.7119598388671875,-40.14387547112687,206.14416469000594,-2.553921134901955,2.553921134901955,True,HIGH,OVER,0.68,0.8036934518773025,False,-110
22300016,2023-24,2023-11-10,SAC,,203,105,98,202.42963,219.85403,250.29985,18.699306,-16.854034423828125,16.854034423828125,-48.450693944283856,171.40334047954428,-2.59104229214491,2.59104229214491,True,HIGH,OVER,0.68,0.08947312281038722,True,100
22300017,2023-24,2023-11-14,CHA,,216,105,111,205.92023,220.45421,248.99567,16.826344,-4.4542083740234375,4.4542083740234375,36.299609110252916,256.75381748427634,2.1573082132655035,2.1573082132655035,True,MEDIUM,UNDER,0.62,0.10579652027279896,True,100
22300198,2023-24,2023-11-15,LAL,,235,110,125,209.52618,233.35289,249.45328,15.596521,1.6471099853515625,1.6471099853515625,31.401837247362664,264.7547272620111,2.013387247526623,2.013387247526623,True,MEDIUM,UNDER,0.62,0.47190251056452304,True,100
22300206,2023-24,2023-11-18,SAS,,228,108,120,211.06232,228.15909,246.71448,13.926625,-0.159088134765625,0.159088134765625,30.15117632664074,258.31026446140635,2.165002344901084,2.165002344901084,True,MEDIUM,UNDER,0.62,0.5441086239394686,True,100
22300218,2023-24,2023-11-20,DET,,210,103,107,202.65913,218.54665,244.90878,16.503769,-8.546646118164062,8.546646118164062,33.935167326038865,252.48181344420294,2.056207129940322,2.056207129940322,True,MEDIUM,UNDER,0.62,0.418932977983946,True,100
22300048,2023-24,2023-11-24,HOU,,191,105,86,195.83315,217.13338,241.61133,17.882103,-26.133377075195312,26.133377075195312,46.52356533348022,263.65694240867555,2.601683114180395,2.601683114180395,True,HIGH,UNDER,0.68,0.9891253191087334,False,-110
22300259,2023-24,2023-11-29,ORL,,259,139,120,212.75621,240.43272,260.65454,18.710285,18.567276000976562,18.567276000976562,47.8646381994381,288.29736219846154,2.5581992856682523,2.5581992856682523,True,HIGH,UNDER,0.68,0.03247077169174828,True,100
22300265,2023-24,2023-11-30,CLE,,198,95,103,198.13121,213.55324,240.30624,16.474623,-15.553237915039062,15.553237915039062,33.0496234866168,246.60286140165587,2.006092888159123,2.006092888159123,True,MEDIUM,UNDER,0.62,0.8360789007952809,False,-110
22300269,2023-24,2023-11-30,CHI,,233,120,113,205.55695,228.54817,242.99635,14.624769,4.4518280029296875,4.4518280029296875,30.149014035577878,258.6971860326482,2.061503576636398,2.061503576636398,True,MEDIUM,UNDER,0.62,0.15478603484611198,True,100
