game_id,season,game_date,home_team,away_team,actual_total,home_score,away_score,pred_lower,pred_mean,pred_upper,pred_std,z_score,abs_z_score,is_alert,confidence,bet_direction,simulated_live_line,bet_wins,pnl
22301032,2023-24,2024-03-24,LAL,,295,150,145,218.28773,240.73296,280.21344,24.18973,2.2433919172143093,2.2433919172143093,True,MEDIUM,UNDER,278.71988677978516,False,-110
22301036,2023-24,2024-03-25,TOR,,184,88,96,207.58823,226.57936,248.45885,15.965087,-2.667029696115559,2.667029696115559,True,HIGH,OVER,196.77380828857423,False,-110
22301131,2023-24,2024-04-07,DAL,,283,147,136,210.75249,228.00142,265.14615,21.247524,2.588470085069582,2.588470085069582,True,HIGH,UNDER,266.5004257202148,False,-110
22301170,2023-24,2024-04-11,SAC,,258,123,135,204.22533,217.74226,248.73198,17.385412,2.3156043529743346,2.3156043529743346,True,MEDIUM,UNDER,245.92267913818358,False,-110
22400075,2024-25,2024-10-24,DEN,,189,87,102,204.08864,227.04314,242.68901,15.078271,-2.5230437109319483,2.5230437109319483,True,HIGH,OVER,200.4129409790039,False,-110
22400151,2024-25,2024-11-03,BKN,,198,92,106,209.78064,226.07198,243.58636,13.205361,-2.12580140212648,2.12580140212648,True,MEDIUM,OVER,206.42159271240234,False,-110
22400005,2024-25,2024-11-12,MIL,,184,99,85,210.23564,231.70152,254.70485,17.370785,-2.746077594508314,2.746077594508314,True,HIGH,OVER,198.31045684814453,False,-110
22400217,2024-25,2024-11-13,ORL,,184,94,90,204.02112,229.43663,245.09914,16.0461,-2.831630645667816,2.831630645667816,True,HIGH,OVER,197.63098907470703,False,-110
22400257,2024-25,2024-11-20,PHX,,260,122,138,199.80536,220.28911,247.80212,18.748737,2.118056859704704,2.118056859704704,True,MEDIUM,UNDER,248.08673248291015,False,-110
22400304,2024-25,2024-11-30,UTA,,200,94,106,207.57072,232.92711,245.5441,14.833349,-2.2198027066405364,2.2198027066405364,True,MEDIUM,OVER,209.87813262939454,False,-110
22400334,2024-25,2024-12-06,ATL,,266,134,132,208.12291,229.33105,253.23099,17.620344,2.0810572696761844,2.0810572696761844,True,MEDIUM,UNDER,254.99931640625,False,-110
22401210,2024-25,2024-12-13,MIN,,184,97,87,201.24234,214.33278,238.42332,14.523823,-2.088484511336413,2.088484511336413,True,MEDIUM,OVER,193.0998336791992,False,-110
22400364,2024-25,2024-12-19,TOR,,195,94,101,211.74864,234.88528,254.03648,16.518688,-2.4145551956861864,2.4145551956861864,True,MEDIUM,OVER,206.96558532714843,False,-110
