team,season,games_played,goals_for,goals_against,goals_per_game,goals_against_per_game,xgoals_for,xgoals_against,xgoals_per_game,xgoals_against_per_game,goals_above_expected,shots_per_game,shots_against_per_game,shot_attempts_per_game,shot_attempts_against_per_game,shooting_pct,save_pct,faceoff_win_pct,corsi_for_pct,fenwick_for_pct,xgoals_pct,pdo,high_danger_shots_for,high_danger_shots_against,high_danger_goals_for,high_danger_goals_against,hd_shooting_pct,hd_save_pct,medium_danger_shots_for,medium_danger_shots_against,low_danger_shots_for,low_danger_shots_against,rebound_goals_for,rebound_goals_against,rebounds_for,rebounds_against,penalties_for,penalties_against,penalty_minutes_for,penalty_minutes_against,power_play_pct,penalty_kill_pct,win_pct
mtl,20202021,56,158.0,165.0,2.8214285714285716,2.9464285714285716,156.02,162.18,2.7860714285714288,2.8960714285714286,1.9799999999999898,31.178571428571427,28.214285714285715,58.30357142857143,51.392857142857146,9.049255441008018,0.8955696202531646,48.426461143224145,0.53,0.52,0.49,98.60621746632447,143.0,167.0,49.0,57.0,34.26573426573427,0.6586826347305389,467.0,458.0,1789.0,1569.0,23.0,19.0,101.0,115.0,191.0,171.0,431.0,389.0,20.0,80.0,0.0
dal,20202021,56,156.0,148.0,2.7857142857142856,2.642857142857143,144.19,134.4,2.5748214285714286,2.4,11.810000000000002,30.357142857142858,27.125,55.75,51.44642857142857,9.176470588235293,0.9025674786043449,51.724137931034484,0.52,0.52,0.52,99.43321844866979,115.0,112.0,49.0,51.0,42.608695652173914,0.5446428571428572,427.0,352.0,1790.0,1695.0,32.0,22.0,122.0,92.0,171.0,173.0,378.0,384.0,20.0,80.0,0.6
tor,20202021,56,186.0,148.0,3.3214285714285716,2.642857142857143,194.61,151.97,3.4751785714285717,2.71375,-8.610000000000014,31.267857142857142,27.839285714285715,55.767857142857146,51.732142857142854,10.622501427755568,0.9050673508659397,51.190875545119084,0.52,0.52,0.56,101.12923651434954,190.0,130.0,64.0,46.0,33.68421052631579,0.6461538461538461,635.0,509.0,1585.0,1550.0,30.0,20.0,129.0,81.0,157.0,167.0,340.0,368.0,20.0,80.0,0.6
ari,20202021,56,150.0,174.0,2.6785714285714284,3.107142857142857,140.45,161.41,2.508035714285714,2.8823214285714287,9.550000000000011,27.428571428571427,30.535714285714285,52.089285714285715,55.839285714285715,9.765625,0.8982456140350877,49.06692406692407,0.48,0.48,0.47,99.59018640350877,144.0,161.0,46.0,55.0,31.944444444444443,0.6583850931677019,364.0,398.0,1674.0,1808.0,24.0,27.0,139.0,144.0,189.0,202.0,420.0,438.0,20.0,80.0,0.0
det,20202021,56,125.0,168.0,2.232142857142857,3.0,133.68,159.8,2.3871428571428575,2.8535714285714286,-8.680000000000007,27.285714285714285,31.839285714285715,47.25,55.910714285714285,8.180628272251308,0.9057767807066741,50.213745478461036,0.46,0.46,0.46,98.75830634291873,121.0,160.0,42.0,53.0,34.710743801652896,0.66875,359.0,389.0,1549.0,1867.0,21.0,20.0,105.0,110.0,179.0,165.0,384.0,364.0,20.0,80.0,0.0
nyi,20202021,56,152.0,125.0,2.7142857142857144,2.232142857142857,148.64,129.63,2.654285714285714,2.3148214285714284,3.3600000000000136,29.0,28.392857142857142,51.357142857142854,53.94642857142857,9.35960591133005,0.9213836477987422,51.54320987654321,0.49,0.5,0.53,101.49797069120426,157.0,100.0,53.0,32.0,33.75796178343949,0.6799999999999999,401.0,374.0,1635.0,1750.0,24.0,22.0,103.0,100.0,145.0,153.0,314.0,326.0,20.0,80.0,0.6
wpg,20212022,82,250.0,253.0,3.048780487804878,3.0853658536585367,270.26,278.14,3.2958536585365854,3.391951219512195,-20.25999999999999,32.25609756097561,33.18292682926829,57.63414634146341,58.48780487804878,9.45179584120983,0.9070194781330393,50.74024226110363,0.5,0.5,0.49,100.15374365451376,268.0,290.0,84.0,94.0,31.343283582089555,0.6758620689655173,812.0,806.0,2558.0,2611.0,32.0,44.0,202.0,226.0,288.0,297.0,648.0,677.0,20.0,80.0,0.0
cbj,20212022,82,258.0,297.0,3.1463414634146343,3.6219512195121952,239.75,289.9,2.923780487804878,3.5353658536585364,18.25,30.036585365853657,35.23170731707317,55.52439024390244,59.9390243902439,10.475030450669914,0.897196261682243,48.495917490330896,0.48,0.47,0.45,100.19465661889421,219.0,268.0,88.0,85.0,40.182648401826484,0.6828358208955223,692.0,857.0,2529.0,2717.0,42.0,32.0,175.0,209.0,284.0,267.0,595.0,567.0,20.0,80.0,0.0
pit,20212022,82,269.0,222.0,3.2804878048780486,2.707317073170732,274.0,239.78,3.341463414634146,2.924146341463415,-5.0,34.75609756097561,31.426829268292682,59.78048780487805,55.146341463414636,9.43859649122807,0.9138533178114087,51.114959948040706,0.52,0.53,0.53,100.82392827236893,258.0,248.0,80.0,76.0,31.007751937984494,0.6935483870967742,782.0,647.0,2770.0,2533.0,40.0,32.0,232.0,211.0,249.0,284.0,546.0,618.0,20.0,80.0,0.6
nsh,20212022,82,262.0,250.0,3.1951219512195124,3.048780487804878,251.48,259.4,3.066829268292683,3.163414634146341,10.52000000000001,29.75609756097561,32.28048780487805,54.91463414634146,58.28048780487805,10.737704918032787,0.9055534567434832,51.242554939412614,0.49,0.49,0.49,101.2930505923811,227.0,239.0,88.0,85.0,38.76651982378855,0.6443514644351465,711.0,725.0,2519.0,2655.0,38.0,26.0,173.0,159.0,375.0,350.0,935.0,888.0,20.0,80.0,0.6
vgk,20212022,82,262.0,244.0,3.1951219512195124,2.975609756097561,266.57,252.35,3.2508536585365855,3.0774390243902436,-4.569999999999993,34.51219512195122,29.98780487804878,61.75609756097561,56.91463414634146,9.257950530035336,0.9007726718178122,49.32773109243698,0.52,0.53,0.51,99.33521771181655,274.0,273.0,83.0,78.0,30.29197080291971,0.7142857142857143,756.0,700.0,2793.0,2384.0,35.0,47.0,236.0,213.0,250.0,246.0,556.0,559.0,20.0,80.0,0.6
edm,20212022,82,285.0,251.0,3.475609756097561,3.0609756097560976,286.87,249.37,3.4984146341463416,3.0410975609756097,-1.8700000000000045,34.03658536585366,32.28048780487805,60.5,55.74390243902439,10.211393765675385,0.9051756705704571,51.27442650807137,0.52,0.51,0.54,100.72896082272109,289.0,224.0,107.0,76.0,37.0242214532872,0.6607142857142857,858.0,776.0,2617.0,2553.0,41.0,35.0,198.0,191.0,275.0,257.0,586.0,543.0,20.0,80.0,0.6
